Year,Month,Day,Hour,Pressure,RH,Temperature,Precipitation,Wind_direction,Wind_speed,Solar_radiation,NO2,NOX,Average_8h_NOX,Max_8h_NOX,O3
2015,1,1,11,1015.3,85,3.1,0,16,3.2,4200,14.4,15.8,15.8,15.8,43.2
2015,1,1,12,1015.3,79,3.2,0,1,3.8,4800,16.4,18.7,15.8,15.8,42.3
2015,1,1,13,1015.9,82,3.2,0.4,1,3.5,2400,18.4,21.3,17.25,18.7,42.8
2015,1,1,14,1016.3,85,2.7,0.1,16,2.2,600,23.6,27.9,18.6,21.3,39.4
2015,1,1,15,1016.9,85,2.4,0.2,16,2.2,0,27.4,32.8,20.925,27.9,37.1
2015,1,1,16,1017.5,85,2.6,0.1,16,2.7,0,25.9,29.6,23.3,32.8,38.7
2015,1,1,17,1018,80,2.9,0,16,2.8,0,26.5,29.1,24.35,32.8,39.6
2015,1,1,18,1018.4,76,3.2,0,16,2.7,0,28.6,30.6,25.02857143,32.8,38.8
2015,1,1,19,1018.7,84,2.8,0.5,15,2.3,0,28.8,30.9,25.725,32.8,38.5
2015,1,1,20,1018.9,94,1.8,0.6,16,2.2,0,28,30.2,27.6125,32.8,38.3
2015,1,1,21,1019.1,92,1.8,0,16,2.7,0,23,24.6,29.05,32.8,42.2
2015,1,1,22,1019.2,83,2.2,0,16,2.1,0,20,21.5,29.4625,32.8,42.4
2015,1,1,23,1019.4,79,2.2,0,1,1.2,0,23.5,25.2,28.6625,32.8,39.4
2015,1,2,0,1019.8,77,2.2,0,16,2.5,0,23.8,25.1,27.7125,30.9,39.3
2015,1,2,1,1019.8,78,2.2,0,1,0.7,0,20.1,21,27.15,30.9,40.9
2015,1,2,2,1019.3,78,2,0,15,1.2,0,14.6,15.2,26.1375,30.9,44.4
2015,1,2,3,1019.1,78,1.9,0,16,2,0,13,13.3,24.2125,30.9,44.8
2015,1,2,4,1019.4,75,1.8,0,16,2.3,0,12,12.5,22.0125,30.2,44.2
2015,1,2,5,1019.9,70,1.9,0,1,2.7,0,11.8,12.4,19.8,25.2,44.5
2015,1,2,6,1020.3,70,1.9,0,16,0.7,1200,16.2,17.1,18.275,25.2,42.2
2015,1,2,7,1020.3,67,2.6,0,16,0.8,4800,35.1,37.9,17.725,25.2,30.9
2015,1,2,8,1020.6,62,3.3,0,15,2.5,6600,64.6,77.6,19.3125,37.9,14
2015,1,2,9,1020.4,63,3.6,0,1,1,7800,53.4,68,25.875,77.6,21.2
2015,1,2,10,1020,61,3.9,0,15,1.1,10800,38,48.7,31.75,77.6,28.4
2015,1,2,11,1019.4,61,4.3,0,2,1.1,10200,27.8,34.4,35.9375,77.6,37.5
2015,1,2,12,1019.2,59,4.7,0,16,2.1,9000,20.7,25.4,38.575,77.6,41.4
2015,1,2,13,1019.1,60,4.4,0,16,1.3,6600,21.3,26.5,40.1875,77.6,42.1
2015,1,2,14,1019,65,3.6,0,1,2.1,1800,25.1,32.1,41.95,77.6,39.2
2015,1,2,15,1018.7,68,2.9,0,14,1.5,0,29.6,37.5,43.825,77.6,37.3
2015,1,2,16,1018.7,68,2.8,0,3,0.8,0,42.4,56.6,43.775,77.6,29.6
2015,1,2,17,1018.7,67,2.6,0,16,0.7,0,53,59.6,41.15,68,21.4
2015,1,2,18,1018.2,80,1.9,0,14,1.5,0,73.8,161.5,40.1,59.6,2.9
2015,1,2,19,1017.9,82,1.4,0,14,1.6,0,75.4,123.44378,54.2,161.5,2.8
2015,1,2,20,1017.6,82,1,0,14,2,0,63.4,101.23538,65.3304725,161.5,2.5
2015,1,2,21,1017.4,83,0.9,0,16,0.2,0,58.7,92.53709,74.809895,161.5,2.3
2015,1,2,22,1016.8,84,1.1,0,14,1,0,62.1,98.82947,83.06453125,161.5,2.1
2015,1,2,23,1016.2,88,0.6,0,14,1.7,0,46.6,70.14362,91.405715,161.5,1.6
2015,1,3,0,1016,90,0.5,0,13,2,0,42.7,62.92589,95.4861675,161.5,2.1
2015,1,3,1,1015.9,91,0.1,0,1,0.1,0,38,54.2276,96.27690375,161.5,2.2
2015,1,3,2,1015.6,91,-0.1,0,14,0.9,0,40.4,58.66928,95.60535375,161.5,2
2015,1,3,3,1015.3,78,0.1,0,14,0.7,0,34,46.8248,82.75151375,123.44378,2
2015,1,3,4,1015.3,74,0,0,15,0.4,0,32.2,43.49354,73.17414125,101.23538,2.1
2015,1,3,5,1015.2,65,-0.1,0,15,0.4,0,29.7,38.86679,65.95641125,98.82947,2
2015,1,3,6,1015.7,62,1.1,0,13,0.2,2400,29.4,38.31158,59.24762375,98.82947,2
2015,1,3,7,1015.8,47,4.1,0,11,2.4,9600,22.6,25.72682,51.6828875,70.14362,2.2
2015,1,3,8,1015.7,56,5.4,0,9,2.9,13800,19.2,19.43444,46.1307875,62.92589,2.2
2015,1,3,9,1015.4,67,5.2,0,9,1.9,6000,41,59.7797,40.69435625,58.66928,2.4
2015,1,3,10,1015.4,71,5.7,0,12,1.2,6600,76.3,170.6,41.38836875,59.7797,3.9
2015,1,3,11,1015.5,71,5.9,0,13,3.6,5400,68.8,109.8,55.37970875,170.6,7.7
2015,1,3,12,1015.4,72,5.8,0,11,1,4200,56.2,77.6,63.25160875,170.6,13
2015,1,3,13,1015.6,59,6.1,0,12,2.2,3000,60.6,89.3,67.51491625,170.6,11.3
2015,1,3,14,1015.8,55,5.7,0,13,2.4,3000,63.4,88.5,73.8190675,170.6,9.5
2015,1,3,15,1016,57,5,0,14,1.9,0,64.6,89.7,80.09262,170.6,10.5
2015,1,3,16,1015.7,60,4.9,0,4,0.2,0,73.9,113.2,88.0892675,170.6,8.6
2015,1,3,17,1015.8,62,5.3,0,14,1.4,0,80.8,118.2,99.8099625,170.6,6.4
2015,1,3,18,1015.5,67,5.6,0,6,0.1,0,86.5,153.4,107.1125,170.6,2.5
2015,1,3,19,1015.1,66,5.6,0,7,1.4,0,79.3,130.66151,104.9625,153.4,2.2
2015,1,3,20,1014.8,70,5.8,0,7,0.2,0,72.7,118.44689,107.5701888,153.4,2.2
2015,1,3,21,1014.5,72,6.1,0,13,1.2,0,80.6,133.06742,112.67605,153.4,2.4
2015,1,3,22,1013.7,74,6.2,0,7,1.3,0,79.8,131.58686,118.1469775,153.4,1.8
2015,1,3,23,1012.6,78,5.5,0,8,1.2,0,79.2,130.47644,123.532835,153.4,2.6
2015,1,4,0,1012,78,5.7,0,9,1,0,70.6,114.56042,128.62989,153.4,2.3
2015,1,4,1,1011.5,80,5.4,0,7,0.4,0,78,128.2556,128.7999425,153.4,1.8
2015,1,4,2,1010.7,75,6.2,0,9,3.3,0,66.3,181.6,130.0568925,153.4,1.5
2015,1,4,3,1009.5,80,5.5,0,9,3,0,60.2,152.5,133.5818925,181.6,1.9
2015,1,4,4,1008.5,79,5.7,0,7,1.7,0,44.9,293.1,136.3117038,181.6,3.6
2015,1,4,5,1007.5,81,6,0,8,3.6,0,34,35.7,158.1433425,293.1,15.1
2015,1,4,6,1007,82,6.4,0,9,2.1,1200,32.5,33.9,145.972415,293.1,19.2
2015,1,4,7,1006.2,77,6.9,0,10,2.1,4200,41.5,44.2,133.7615575,293.1,15
2015,1,4,8,1005.2,68,7.8,0,9,5.7,7200,51.1,59.9,122.9770025,293.1,10.7
2015,1,4,9,1003.8,63,8.7,0,8,4.1,9600,46,57.6,116.14445,293.1,15.1
2015,1,4,10,1003.1,64,9.1,0,8,3.3,9600,41.3,54.2,107.3125,293.1,19.8
2015,1,4,11,1002.5,72,8.9,0,9,2.9,6600,41.6,54.5,91.3875,293.1,23.2
2015,1,4,12,1001.9,74,9,0.2,10,4.3,3600,36.6,47,79.1375,293.1,30.8
2015,1,4,13,1001.7,83,8.7,0.3,8,2.4,3000,32.2,40.4,48.375,59.9,32.8
2015,1,4,14,1001.3,87,8.5,2.2,9,3.1,600,33.8,42.4,48.9625,59.9,31.7
2015,1,4,15,1001.3,94,8.2,2.4,10,3.1,0,39.7,46.3,50.025,59.9,27.9
2015,1,4,16,1001.5,95,8.3,2,7,1.2,0,49.4,59.6,50.2875,59.9,20.5
2015,1,4,17,1002.1,97,7.9,2.1,13,2,0,60.2,75,50.25,59.6,14.2
2015,1,4,18,1003,92,5.7,1.2,15,2.7,0,65.2,73.5,52.425,75,9.9
2015,1,4,19,1003.8,85,4.6,0.6,15,3.4,0,69.1,94.3,54.8375,75,4.5
2015,1,4,20,1004.7,82,4.9,0.4,15,3.7,0,42.6,50.6,59.8125,94.3,20.8
2015,1,4,21,1005.1,90,4.3,0.3,15,2.2,0,22.5,23.5,60.2625,94.3,32.4
2015,1,4,22,1005.5,88,4.5,0,15,1.2,0,23.5,24,58.15,94.3,35.4
2015,1,4,23,1005.6,85,4.5,0,16,0.7,0,27,26.8,55.85,94.3,34.5
2015,1,5,0,1005.8,84,4.4,0,15,0.9,0,27.8,28.6,53.4125,94.3,32.2
2015,1,5,1,1005.8,77,4.6,0,13,0.2,0,23.2,24.1,49.5375,94.3,33.8
2015,1,5,2,1005.9,79,4.4,1.1,13,1.5,0,29.2,29.6,43.175,94.3,25.3
2015,1,5,3,1006,91,3.3,0.6,15,2.5,0,37.4,38.7,37.6875,94.3,21.7
2015,1,5,4,1006,92,3,0,3,1,0,29.2,29.8,30.7375,50.6,24.9
2015,1,5,5,1006.3,86,3.1,0,15,1.1,0,20.6,21,28.1375,38.7,33.5
2015,1,5,6,1006.3,84,3.4,0,16,1.6,1200,19.8,26.2,27.825,38.7,30.9
2015,1,5,7,1006.5,79,4,0,15,1.9,4200,65.7,163,28.1,38.7,3.4
2015,1,5,8,1006.9,80,4.4,0,14,1.2,7200,64.1,115.9,45.125,163,3.7
2015,1,5,9,1006.7,63,6.9,0,13,1.7,21000,77.3,126.96011,56.0375,163,3.9
2015,1,5,10,1006.4,61,6.6,0,15,2.2,21600,66.2,106.41734,68.89501375,163,6.1
2015,1,5,11,1005.8,59,6.5,0,2,3.3,20400,43.1,81.6,78.49718125,163,18.3
2015,1,5,12,1005.7,55,7,0,15,3.6,16200,20.9,29.2,83.85968125,163,35.4
2015,1,5,13,1006.1,59,5.8,0,1,2.9,7800,21.2,29.9,83.78468125,163,35.8
2015,1,5,14,1006.5,69,5,0,1,2.1,3000,21.7,37,84.89718125,163,39.2
2015,1,5,15,1006.6,69,4.2,0,2,0.8,0,21,26.8,86.24718125,163,38.1
2015,1,5,16,1006.7,68,4.3,0,16,1.4,0,41,59.4,69.22218125,126.96011,28.8
2015,1,5,17,1006.3,67,3.7,0,15,1,0,60.6,87,62.15968125,126.96011,17.4
2015,1,5,18,1005.9,61,3.9,0,16,1.6,0,69.4,90.2,57.1646675,106.41734,12.7
2015,1,5,19,1005.3,59,4,0,16,1.3,0,66.8,87.4,55.1375,90.2,17.2
2015,1,5,20,1004.2,57,4.1,0,16,2.6,0,82.2,129,55.8625,90.2,4.3
2015,1,5,21,1003.9,56,4.3,0,16,1.4,0,56.6,64,68.3375,129,21
2015,1,5,22,1002.9,60,4.2,0,1,1.7,0,43.8,47.6,72.6,129,29.1
2015,1,5,23,1002.4,80,2.7,0.2,15,2.7,0,35.8,38.4,73.925,129,32.9
2015,1,6,0,1002.3,67,3.1,0,16,1.4,0,28,29.8,75.375,129,36.4
2015,1,6,1,1001.7,56,3.8,0,16,1.5,0,18.5,20.2,71.675,129,40.4
2015,1,6,2,1001,54,3.8,0,1,2.1,0,13.4,14.4,63.325,129,44.8
2015,1,6,3,1000.5,50,3.6,0,1,2.7,0,11.6,12.3,53.85,129,45.2
2015,1,6,4,1000.4,60,3.5,0,1,4,0,10.4,10.9,44.4625,129,47.2
2015,1,6,5,1000.3,55,3.8,0,14,1.8,0,8.6,9,29.7,64,48.6
2015,1,6,6,1000.8,57,3.4,0,2,3.7,0,10.8,11.3,22.825,47.6,46.7
2015,1,6,7,1000.9,63,3.4,0,16,5.5,2400,17.8,19.9,18.2875,38.4,43.2
2015,1,6,8,1001.3,62,4,0.7,2,1.8,5400,25.8,29.8,15.975,29.8,39.6
