Year,Month,Day,Hour,Pressure,RH,Temperature,Precipitation,Wind_direction,Wind_speed,Solar_radiation,NO2,NOX,Average_8h_NOX,Max_8h_NOX,O3
2015,1,2,0,1019.8,78,1.7,0,15,5.4,0,9,10.93392,16.359265,20.4288,76.5
2015,1,2,1,1019.8,81,1.4,0,14,5.3,0,8,9.22247,15.172405,19.55964,76.3
2015,1,2,2,1019.3,81,1.2,0,14,5.5,0,6.1,6.99199,13.88025875,19.19691,78.3
2015,1,2,3,1019.1,78,1,0,15,5,0,5,5.57069,12.35464375,17.76153,80
2015,1,2,4,1019.4,76,1.2,0,15,5,0,3.5,3.92993,10.83078875,15.90963,82
2015,1,2,5,1019.9,73,1.2,0,14,4.9,0,3.6,3.89835,9.33332625,14.71018,80.7
2015,1,2,6,1020.3,71,1.2,0,15,4.3,1200,4.365647463,4.748176817,7.9818475,12.14322,77.7
2015,1,2,7,1020.3,71,1.8,0,16,4,4800,5,5.46206,7.057467102,11.16421,73.9
2015,1,2,8,1020.6,68,2.1,0,16,4.2,6600,10.8,11.16108,6.344698352,10.93392,69.2
2015,1,2,9,1020.4,66,2.4,0,15,4.2,7800,19.9,23.64391,6.373093352,11.16108,57.9
2015,1,2,10,1020,65,2.9,0,16,4.3,10800,36.9,50.73273,8.175773352,23.64391,41.9
2015,1,2,11,1019.4,62,3.5,0,14,3.4,10200,28.9,41.23639,13.64336585,50.73273,52.8
2015,1,2,12,1019.2,66,3.9,0,15,3,9000,24.4,35.16661,18.10157835,50.73273,58.2
2015,1,2,13,1019.1,63,3.8,0,16,3,6600,28.9,42.12991,22.00616335,50.73273,53.49290011
2015,1,2,14,1019,66,3.3,0,16,3,1800,29.0971831,44.57175394,26.78510835,50.73273,58.4
2015,1,2,15,1018.7,69,2.5,0,1,2.1,0,28.3,43.35061,31.76305549,50.73273,56.8
2015,1,2,16,1018.7,71,2,0,1,1.6,0,28.7,46.06703,36.49912424,50.73273,57.3
2015,1,2,17,1018.7,74,2,0,1,1.3,0,36.7,51.8164,40.86236799,50.73273,46.8
2015,1,2,18,1018.2,74,1.8,0,16,2.3,0,45.6,59.99883,44.38392924,51.8164,35.9
2015,1,2,19,1017.9,77,1.6,0,1,1.7,0,68.7,116.96232,45.54219174,59.99883,16.8
2015,1,2,20,1017.6,78,1.4,0,16,1.4,0,77.5,156.2644,55.00793299,116.96232,11
2015,1,2,21,1017.4,78,1.1,0,1,0.7,0,75.6,132.13657,70.14515674,156.2644,9.5
2015,1,2,22,1016.8,78,1.4,0,12,0.7,0,82.9,153.14383,81.39598924,156.2644,4
2015,1,2,23,1016.2,72,1.4,0,10,1.1,0,77.1,131.70264,94.96749875,156.2644,9.3
2015,1,3,0,1016,75,1.3,0,9,1.1,0,81.4,155.94925,106.0115025,156.2644,6.1
2015,1,3,1,1015.9,74,0.9,0,9,1.4,0,66.6,105.29523,119.74678,156.2644,6
2015,1,3,2,1015.6,69,1.1,0,8,1.9,0,51.3,63.78939,126.4316338,156.2644,18.7
2015,1,3,3,1015.3,60,1.1,0,9,2,0,24,26.80755,126.9054538,156.2644,47.7
2015,1,3,4,1015.3,57,0.6,0,8,1.8,0,23.4,25.4655,115.6361075,156.2644,45.2
2015,1,3,5,1015.2,53,1.2,0,8,1.8,0,26.7,28.8267,99.286245,155.94925,36.9
2015,1,3,6,1015.7,56,1.8,0,8,3.1,2400,32.8,39.11125,86.37251125,155.94925,29.5
2015,1,3,7,1015.8,52,3.2,0,8,3.3,9600,27.7,30.09139,72.11843875,155.94925,38.5
2015,1,3,8,1015.7,62,4.7,0,7,4.4,13800,29.4,34.42758,59.4170325,155.94925,42.4
2015,1,3,9,1015.4,72,4.4,0,7,4.7,6000,33.5,39.30023,44.22682375,105.29523,38.2
2015,1,3,10,1015.4,75,4.7,0,8,4.9,6600,36.6,47.92659,35.97744875,63.78939,36.2
2015,1,3,11,1015.5,76,5,0,8,4,5400,45,73.52838,33.99459875,47.92659,34
2015,1,3,12,1015.4,76,5.1,0,8,4.3,4200,57.7,103.43323,39.8347025,73.52838,17
2015,1,3,13,1015.6,64,5.3,0,8,4.1,3000,45.7,75.90679,49.58066875,103.43323,26.9
2015,1,3,14,1015.8,55,5.5,0,9,3.3,3000,30.4,41.24923,55.46568,103.43323,45.12428172
2015,1,3,15,1016,59,4.3,0,9,2.3,0,36,47,55.7329275,103.43323,34.7
2015,1,3,16,1015.7,60,4.3,0,8,1.7,0,29.2,39.26281,57.84650375,103.43323,44.4
2015,1,3,17,1015.8,65,4.6,0,7,1.5,0,34.4,43.37039,58.4509075,103.43323,41.8
2015,1,3,18,1015.5,67,5.1,0,7,2,0,38.6,45.99908,58.9596775,103.43323,41.82201812
2015,1,3,19,1015.1,71,5.1,0,8,1.8,0,49.9,61.2985,58.71873875,103.43323,32.74114012
2015,1,3,20,1014.8,74,5.4,0,7,2.2,0,66.1,107.70835,57.19000375,103.43323,15.58135947
2015,1,3,21,1014.5,74,5.6,0,7,1.9,0,68,121.21799,57.72439375,107.70835,12.55251695
2015,1,3,22,1013.7,75,5.7,0,6,1.9,0,67.7,121.41065,63.38829375,121.21799,12.51388267
2015,1,3,23,1012.6,78,5.6,0,6,1.9,0,69.4,153.25317,73.40847125,121.41065,7.51843996
2015,1,4,0,1012,79,5.4,0,6,2.2,0,64.3,136.66594,86.6901175,153.25317,9.803644123
2015,1,4,1,1011.5,81,5.7,0,6,3.5,0,61.6,104.86993,98.86550875,153.25317,16.30529634
2015,1,4,2,1010.7,78,5.5,0,6,3.4,0,73.3,208.48927,106.5529513,153.25317,3.106763965
2015,1,4,3,1009.5,84,5,0,6,3.1,0,67.1,175.79884,126.864225,208.48927,5.241607295
2015,1,4,4,1008.5,82,5.2,0,6,3.8,0,58.2,86.95023,141.1767675,208.48927,21.7193809
2015,1,4,5,1007.5,82,5.3,0,6,5,0,46.9,55.8505,138.5820025,208.48927,35.72319994
2015,1,4,6,1007,83,5.9,0,6,5.8,1200,28.5,33.06093,130.4110663,208.48927,51.44088122
2015,1,4,7,1006.2,79,6.4,0,6,5.8,4200,12.2,13.94114,119.3673513,208.48927,69.84996922
2015,1,4,8,1005.2,76,7,0,6,6.6,7200,11.7,13.68441,101.9533475,208.48927,70.13748044
2015,1,4,9,1003.8,68,7.8,0,6,7.5,9600,17.8,22.0534,86.58065625,208.48927,61.34744796
2015,1,4,10,1003.1,69,8.3,0,6,7.9,9600,23.1,32.35956,76.22859,208.48927,52.02139744
2015,1,4,11,1002.5,76,7.8,0,6,6.4,6600,22.8,33.45186,54.21237625,175.79884,51.12012907
2015,1,4,12,1001.9,78,8.2,0.2,7,6.1,3600,21.6,31.20993,36.41900375,86.95023,50.2
2015,1,4,13,1001.7,87,7.8,0.4,6,5.7,3000,18.8,27.40319,29.45146625,55.8505,57.7
2015,1,4,14,1001.3,88,8,2,7,4.7,600,26.6,37.25186,25.8955525,33.45186,49.7
2015,1,4,15,1001.3,95,7.8,1.2,7,5.5,0,24.2,32.08103,26.41941875,37.25186,52.25374695
2015,1,4,16,1001.5,95,7.8,1.4,8,4.3,0,31.06098155,40.11582455,28.686905,37.25186,49.7
2015,1,4,17,1002.1,97,7.5,2,9,6.1,0,34.8,43.81629,31.99083182,40.11582455,43.8
2015,1,4,18,1003,89,5.1,0.6,10,6.4,0,42.1,51.77572,34.71119307,43.81629,32.8
2015,1,4,19,1003.8,84,4.3,0.4,10,6.7,0,50.3,61.55621,37.13821307,51.77572,21.3
2015,1,4,20,1004.7,83,4.5,0.2,10,5.2,0,30.6,37.2708,40.65125682,61.55621,36.9
2015,1,4,21,1005.1,90,3.8,0.4,10,4.1,0,12,15.40578,41.40886557,61.55621,61.7
2015,1,4,22,1005.5,86,4.2,0,10,3.7,0,10.6,12.11776,39.90918932,61.55621,66.2
2015,1,4,23,1005.6,88,3.9,0,9,2,0,11.9,13.89971,36.76742682,61.55621,68.6
2015,1,5,0,1005.8,84,4.1,0,11,2.4,0,7.3,8.23024,34.49476182,61.55621,75.2
2015,1,5,1,1005.8,77,4.3,0.2,10,2.7,0,7.4,8.28281,30.50906375,61.55621,76.1
2015,1,5,2,1005.9,88,2.6,1.4,9,1.7,0,8.4,9.23997,26.06737875,61.55621,70.7
2015,1,5,3,1006,90,2.8,0.4,9,2.4,0,9.2,9.96653,20.75041,61.55621,65
2015,1,5,4,1006,82,3.3,0,10,3.2,0,9.4,10.07626,14.3017,37.2708,69.5
2015,1,5,5,1006.3,81,2.9,0,10,2.4,0,7.4,7.58207,10.9023825,15.40578,65.1
2015,1,5,6,1006.3,80,3.1,0,10,2.4,1200,6.8,7.43495,9.92441875,13.89971,61.3
2015,1,5,7,1006.5,76,3.7,0,10,3.6,4200,5.1,5.63091,9.3390675,13.89971,62.7
2015,1,5,8,1006.9,77,3.9,0,10,4.1,7200,6.3,7.73667,8.3054675,10.07626,61.9
2015,1,5,9,1006.7,66,5.6,0,11,5.1,21000,20,24.44465,8.24377125,10.07626,44.1
2015,1,5,10,1006.4,69,5.3,0,12,4.7,21600,44.4,68.33379,10.26400125,24.44465,19.1
2015,1,5,11,1005.8,65,5.3,0,12,4.9,20400,29.8,41.17708,17.65072875,68.33379,35
2015,1,5,12,1005.7,67,5.1,0,14,4.7,16200,20.8,29.80864,21.5520475,68.33379,49.4
2015,1,5,13,1006.1,65,5.1,0,15,4.3,7800,11,14.90609,24.018595,68.33379,65.8
2015,1,5,14,1006.5,67,4.3,0,14,4.6,3000,11.8,17.34778,24.9340975,68.33379,66.4
2015,1,5,15,1006.6,71,3.8,0,15,4,0,14.7,22.38213,26.17320125,68.33379,61.02562731
2015,1,5,16,1006.7,68,3.5,0,15,3.5,0,11.4,15.31833,28.26710375,68.33379,68.32765708
2015,1,5,17,1006.3,71,3.1,0,15,4.1,0,21.20057624,27.45304384,29.21481125,68.33379,56.26987596
2015,1,5,18,1005.9,62,3.4,0,15,4.7,0,26.1,32.31639,29.59086048,68.33379,55.1
2015,1,5,19,1005.3,63,3.5,0,15,5.6,0,36.3,44.05251,25.08868548,41.17708,46.2
2015,1,5,20,1004.2,60,3.5,0,16,5.3,0,31.6,36.59086,25.44811423,44.05251,50.2
2015,1,5,21,1003.9,66,3.5,0,15,5.9,0,33.5,39.91529,26.29589173,44.05251,47.1
