Year,Month,Day,Hour,Pressure,RH,Temperature,Precipitation,Wind_direction,Wind_speed,Solar_radiation,NO2,NOX,Average_8h_NOX,Max_8h_NOX,O3
2015,1,2,0,1019.8,78,1.7,0,15,5.4,0,18.5,32.99828,45.49063625,51.13515,61
2015,1,2,1,1019.8,81,1.4,0,14,5.3,0,16.2,27.71631,43.4816075,51.13515,64.3
2015,1,2,2,1019.3,81,1.2,0,14,5.5,0,13.6,21.47032,40.5542525,50.20993,66.1
2015,1,2,3,1019.1,78,1,0,15,5,0,10.6,16.04374,37.240375,50.20993,68.9
2015,1,2,4,1019.4,76,1.2,0,15,5,0,8.3,11.05247,33.78623625,50.20993,72.1
2015,1,2,5,1019.9,73,1.2,0,14,4.9,0,6.1,8.41336,28.89155375,46.11689,74.4
2015,1,2,6,1020.3,71,1.2,0,15,4.3,1200,6.12,8.5,24.1786125,40.70743,73.5
2015,1,2,7,1020.3,71,1.8,0,16,4,4800,10,14.53186,20.15268375,35.02699,69.8
2015,1,2,8,1020.6,68,2.1,0,16,4.2,6600,18.6,32.1558,17.5907925,32.99828,63.1
2015,1,2,9,1020.4,66,2.4,0,15,4.2,7800,41.1,89.54745,17.4854825,32.1558,37.17782413
2015,1,2,10,1020,65,2.9,0,16,4.3,10800,44.6,89.43206,25.214375,89.54745,37.1
2015,1,2,11,1019.4,62,3.5,0,14,3.4,10200,42.42952165,87.1123,33.7095925,89.54745,45.5
2015,1,2,12,1019.2,66,3.9,0,15,3,9000,39.73956935,76.60516,42.5931625,89.54745,48.6
2015,1,2,13,1019.1,63,3.8,0,16,3,6600,36.32770437,65.0812,50.78724875,89.54745,52
2015,1,2,14,1019,66,3.3,0,16,3,1800,35.01272377,61.11774,57.87072875,89.54745,50.7
2015,1,2,15,1018.7,69,2.5,0,1,2.1,0,37.7,76.93685,64.44794625,89.54745,45.6
2015,1,2,16,1018.7,71,2,0,1,1.6,0,36.7,77.29396,72.24857,89.54745,47.2
2015,1,2,17,1018.7,74,2,0,1,1.3,0,43.3,84.48301,77.89084,89.54745,37.6
2015,1,2,18,1018.2,74,1.8,0,16,2.3,0,54.9,123.06762,77.257785,89.43206,26.4
2015,1,2,19,1017.9,77,1.6,0,1,1.7,0,57.86319008,145.17968,81.46223,123.06762,10.4
2015,1,2,20,1017.6,78,1.4,0,16,1.4,0,57.00630482,142.39339,88.7206525,145.17968,11.7
2015,1,2,21,1017.4,78,1.1,0,1,0.7,0,55.34749728,137.03514,96.94418125,145.17968,14.2
