Year,Month,Day,Hour,Pressure,RH,Temperature,Precipitation,Wind_direction,Wind_speed,Solar_radiation,NO2,NOX,Average_8h_NOX,Max_8h_NOX,O3
2015,1,2,0,1027.4,79,2.8,0,15,5.2,0,14.8,31,41.3625,44.4,25.9
2015,1,2,1,1027.4,80,2.7,0,16,5.4,0,12.8,28.5,40.0875,44.4,26.8
2015,1,2,2,1027,79,2.6,0,15,5,0,10.3,26.2,38.1,43.8,27.2
2015,1,2,3,1026.8,79,2.5,0,15,5.4,0,8.2,24,36.1875,43.8,28.3
2015,1,2,4,1027,79,2.4,0,15,4.7,0,6.6,22.1,33.9875,43.8,30.4
2015,1,2,5,1027.6,73,2.3,0,15,4.6,0,6.8,22.7,31.275,42,30.3
2015,1,2,6,1028,70,2.6,0,15,4.7,1200,8.1,23.3,28.8625,38.6,29.5
2015,1,2,7,1028.2,69,2.9,0,15,4.1,4800,15.6,33,26.95,37.8,22.5
2015,1,2,8,1028.4,68,3.3,0,16,4.9,6600,25.3,46.9,26.35,33,11.4
2015,1,2,9,1028.1,66,3.5,0,15,4.8,7800,31.3,61.8,28.3375,46.9,6.9
2015,1,2,10,1027.6,64,4.1,0,15,4.2,10800,31.8,67,32.5,61.8,8.4
2015,1,2,11,1027.1,62,4.5,0,16,4.4,10200,27.9,56.2,37.6,67,12.2
2015,1,2,12,1026.8,62,4.6,0,16,4.2,9000,27.8,55.1,41.625,67,13.1
2015,1,2,13,1026.8,64,4.4,0,16,4.1,6600,25,49.6,45.75,67,17.8
2015,1,2,14,1026.7,66,3.8,0,16,3.4,1800,25.8,51.6,49.1125,67,18.4
2015,1,2,15,1026.5,69,3.3,0,16,3.4,0,30.6,59.4,52.65,67,14.2
2015,1,2,16,1026.5,70,3.1,0,16,3,0,34,67.7,55.95,67,11.5
2015,1,2,17,1026.4,75,2.5,0,16,2.2,0,41.7,91.2,58.55,67.7,5.9
2015,1,2,18,1026,77,2.3,0,16,2.7,0,42.8,87.8,62.225,91.2,6
2015,1,2,19,1025.6,78,1.9,0,16,2.4,0,49.1,158.3,64.825,91.2,10
2015,1,2,20,1025.5,83,1.6,0,15,2,0,53.5,185.6,77.5875,158.3,9.4
2015,1,2,21,1025.2,83,1.7,0,16,1.8,0,51.9,157.8,93.9,185.6,10.6
2015,1,2,22,1024.7,85,1.8,0,1,1.6,0,50.1,146.9,107.425,185.6,12.6
2015,1,2,23,1024,88,1.4,0,1,1.6,0,47.2,180.7,119.3375,185.6,14.1
2015,1,3,0,1023.8,90,1.4,0,16,1.4,0,49.2,336.1,134.5,185.6,34.8
2015,1,3,1,1023.7,84,2.2,0,1,1.2,0,53.9,314.8,168.05,336.1,32.5
2015,1,3,2,1023.4,84,2.4,0,16,1.3,0,51.4,421.4,196,336.1,29
2015,1,3,3,1023.3,86,1.9,0,15,1.2,0,47.2,428.3,237.7,421.4,34.2
2015,1,3,4,1023.2,66,1.8,0,14,1.6,0,44.9,360.8,271.45,428.3,35.6
2015,1,3,5,1023.2,74,1.4,0,1,1.2,0,42.6,242.3,293.35,428.3,23.6
2015,1,3,6,1023.6,65,3.6,0,10,2.9,2400,41.5,126.6,303.9125,428.3,8.1
2015,1,3,7,1023.7,64,5.4,0,10,4.9,9600,40.6,197.8,301.375,428.3,4.9
2015,1,3,8,1023.5,63,6.8,0,10,4,13800,45.6,548.7,303.5125,428.3,11.1
2015,1,3,9,1022.8,79,6,0,9,5.1,6000,42,111,330.0875,548.7,2.9
2015,1,3,10,1023,79,6.4,0,9,6.6,6600,40,107.1,304.6125,548.7,5.2
2015,1,3,11,1023.3,80,6.3,0,10,6.3,5400,29.2,62.8,265.325,548.7,10.4
2015,1,3,12,1023.4,82,6.6,0,10,5.7,4200,24.2,50.7,219.6375,548.7,14.6
2015,1,3,13,1023.4,75,6.7,0,10,5.7,3000,28.8,63.6,180.875,548.7,11.5
2015,1,3,14,1023.3,62,6.7,0,10,5.5,3000,28.5,60.4,158.5375,548.7,12.1
2015,1,3,15,1023.6,61,5.8,0,11,4.5,0,30.2,60.7,150.2625,548.7,11.1
2015,1,3,16,1023.5,64,5.6,0,11,2.7,0,37.2,78.6,133.125,548.7,8.5
2015,1,3,17,1023.6,65,5.7,0,11,2.2,0,44.2,116.9,74.3625,111,11.8
2015,1,3,18,1023.1,70,5.9,0,10,2.1,0,45.5,118.4,75.1,116.9,11.6
2015,1,3,19,1022.6,76,6.3,0,9,2.7,0,44.4,97.6,76.5125,118.4,10.6
2015,1,3,20,1022.5,77,6.5,0,10,2.8,0,46.4,128.4,80.8625,118.4,13.4
2015,1,3,21,1022.1,80,6.7,0,10,3.5,0,44,103,90.575,128.4,10.6
2015,1,3,22,1021.2,80,6.8,0,9,3.5,0,36.2,73.8,95.5,128.4,8.1
2015,1,3,23,1020.2,80,6.9,0,9,3.6,0,38.8,79.3,97.175,128.4,7.1
2015,1,4,0,1019.7,77,6.9,0,8,4,0,34.8,65.7,99.5,128.4,8.9
2015,1,4,1,1019.1,84,7,0,8,4.9,0,22.8,42.3,97.8875,128.4,15.2
2015,1,4,2,1018.5,82,6.7,0,8,7.2,0,16.8,35.2,88.5625,128.4,20.1
2015,1,4,3,1017.2,83,6.6,0,8,6.9,0,16.5,33.7,78.1625,128.4,18.4
2015,1,4,4,1015.9,81,6.9,0,7,7.3,0,8.8,24.7,70.175,128.4,25.1
