Year,Month,Day,Hour,Pressure,RH,Temperature,Precipitation,Wind_direction,Wind_speed,Solar_radiation,NO2,NOX,Average_8h_NOX,Max_8h_NOX,O3
2015,1,2,0,1019.8,77,2.2,0,16,2.5,0,9.5,19.91624,36.19908125,43.7341,61.6
2015,1,2,1,1019.8,78,2.2,0,1,0.7,0,6,12.52851,34.17927375,43.7341,64.9
2015,1,2,2,1019.3,78,2,0,15,1.2,0,5.6,12.46052,30.278575,43.54775,65.5
2015,1,2,3,1019.1,78,1.9,0,16,2,0,4.7,8.87231,27.3936475,43.54775,65.5
2015,1,2,4,1019.4,75,1.8,0,16,2.3,0,3.4,6.28711,23.59406625,43.54775,66.7
2015,1,2,5,1019.9,70,1.9,0,1,2.7,0,1.5,4.18362,19.5915775,43.54775,68
2015,1,2,6,1020.3,70,1.9,0,16,0.7,1200,1.8,3.72168,14.67106125,27.96462,67.2
2015,1,2,7,1020.3,67,2.6,0,16,0.8,4800,3.3,5.36397,11.64069375,25.15556,64.9
2015,1,2,8,1020.6,62,3.3,0,15,2.5,6600,18.1,33.21487,9.166745,19.91624,54.1
2015,1,2,9,1020.4,63,3.6,0,1,1,7800,34.4,66.29744,10.82907375,33.21487,40.5
2015,1,2,10,1020,61,3.9,0,15,1.1,10800,42.1,87.90361,17.55019,66.29744,35.6
2015,1,2,11,1019.4,61,4.3,0,2,1.1,10200,33.4,53.95832233,26.98057625,87.90361,42.3
2015,1,2,12,1019.2,59,4.7,0,16,2.1,9000,32.3,51.33547191,32.61632779,87.90361,46.8
2015,1,2,13,1019.1,60,4.4,0,16,1.3,6600,28,42.24948247,38.24737303,87.90361,48.5
2015,1,2,14,1019,65,3.6,0,1,2.1,1800,30.5,47.31569356,43.00560584,87.90361,48.4
2015,1,2,15,1018.7,68,2.9,0,14,1.5,0,36.8,86.43167,48.45485753,87.90361,43.2
2015,1,2,16,1018.7,68,2.8,0,3,0.8,0,43.9,96.42184,58.58832003,87.90361,40.3
2015,1,2,17,1018.7,67,2.6,0,16,0.7,0,45.8,94.97114,66.48919128,96.42184,35.6
2015,1,2,18,1018.2,80,1.9,0,14,1.5,0,52.2,126.4505556,70.07340378,96.42184,29.9
2015,1,2,19,1017.9,82,1.4,0,14,1.6,0,73.83018,336.8702569,74.89177198,126.4505556,4.80963
2015,1,2,20,1017.6,82,1,0,14,2,0,61.44978,192.2633639,110.2557638,336.8702569,4.8
2015,1,2,21,1017.4,83,0.9,0,16,0.2,0,56.60079,154.3475719,127.8717503,336.8702569,3.3
2015,1,2,22,1016.8,84,1.1,0,14,1,0,67.7,268.86438,141.8840115,336.8702569,3
2015,1,2,23,1016.2,88,0.6,0,14,1.7,0,67.4,299.9906,169.5775973,336.8702569,2.8
2015,1,3,0,1016,90,0.5,0,13,2,0,59.7,208.56441,196.2724635,336.8702569,2.7
2015,1,3,1,1015.9,91,0.1,0,1,0.1,0,60.9,463.5654,210.2902848,336.8702569,4.5
2015,1,3,2,1015.6,91,-0.1,0,14,0.9,0,52,323.0701,256.3645673,463.5654,2.6
2015,1,3,3,1015.3,78,0.1,0,14,0.7,0,41.3,276.07849,280.9420103,463.5654,3
2015,1,3,4,1015.3,74,0,0,15,0.4,0,39.2,279.99139,273.3430395,463.5654,2
2015,1,3,5,1015.2,65,-0.1,0,15,0.4,0,39,252.741,284.3090427,463.5654,4.798573277
2015,1,3,6,1015.7,62,1.1,0,13,0.2,2400,38.9,288.15231,296.6082213,463.5654,3.367618365
2015,1,3,7,1015.8,47,4.1,0,11,2.4,9600,37.9,264.96732,299.0192125,463.5654,4.246331875
2015,1,3,8,1015.7,56,5.4,0,9,2.9,13800,51.6,284.83319,294.6413025,463.5654,3.481269254
2015,1,3,9,1015.4,67,5.2,0,9,1.9,6000,62.9,259.18369,304.1749,463.5654,4.499164816
2015,1,3,10,1015.4,71,5.7,0,12,1.2,6600,73.8,291.7485,278.6271863,323.0701,3.248664218
2015,1,3,11,1015.5,71,5.9,0,13,3.6,5400,77.7,336.02521,274.7119863,291.7485,2.086477213
2015,1,3,12,1015.4,72,5.8,0,11,1,4200,65.8,201.95164,282.2053263,336.02521,5.8
2015,1,3,13,1015.6,59,6.1,0,12,2.2,3000,55,149.43159,272.4503575,336.02521,10.7
2015,1,3,14,1015.8,55,5.7,0,13,2.4,3000,53,131.1171689,259.5366813,336.02521,10.8
2015,1,3,15,1016,57,5,0,14,1.9,0,51.3,123.92145,239.9072886,336.02521,11.6
2015,1,3,16,1015.7,60,4.9,0,4,0.2,0,57.9,151.14738,222.2765549,336.02521,8.1
2015,1,3,17,1015.8,62,5.3,0,14,1.4,0,61.1,146.6683,205.5658286,336.02521,9.4
2015,1,3,18,1015.5,67,5.6,0,6,0.1,0,69.2,171.16684,191.5014049,336.02521,5.2
2015,1,3,19,1015.1,66,5.6,0,7,1.4,0,74.2,207.87303,176.4286974,336.02521,3.8
2015,1,3,20,1014.8,70,5.8,0,7,0.2,0,79.8,254.8167,160.4096749,207.87303,3.8
2015,1,3,21,1014.5,72,6.1,0,13,1.2,0,79.9,297.6037,167.0178074,254.8167,3.9
2015,1,3,22,1013.7,74,6.2,0,7,1.3,0,80.2,310.90869,185.5393211,297.6037,2.682212815
2015,1,3,23,1012.6,78,5.5,0,8,1.2,0,83.4,385.92688,208.0132613,310.90869,1.266757816
2015,1,4,0,1012,78,5.7,0,9,1,0,86.6,438.91312,240.76394,385.92688,0.745722816
2015,1,4,1,1011.5,80,5.4,0,7,0.4,0,81.7,420.87039,276.7346575,438.91312,0.893173767
2015,1,4,2,1010.7,75,6.2,0,9,3.3,0,76,335.4115,311.0099188,438.91312,2.099321497
2015,1,4,3,1009.5,80,5.5,0,9,3,0,63.5,194.88263,331.5405013,438.91312,8.558303237
2015,1,4,4,1008.5,79,5.7,0,7,1.7,0,57.6,139.01588,329.9167013,438.91312,14.96282924
2015,1,4,5,1007.5,81,6,0,8,3.6,0,56,163.09694,315.4415988,438.91312,11.76064322
2015,1,4,6,1007,82,6.4,0,9,2.1,1200,29.3,76.74989,298.6282538,438.91312,27.8888943
2015,1,4,7,1006.2,77,6.9,0,10,2.1,4200,20,56.03762,269.3584038,438.91312,34.30705838
2015,1,4,8,1005.2,68,7.8,0,9,5.7,7200,27.8,62.61209,228.1222463,438.91312,32.12409786
2015,1,4,9,1003.8,63,8.7,0,8,4.1,9600,39.3,81.58002,181.0846175,420.87039,26.5738404
2015,1,4,10,1003.1,64,9.1,0,8,3.3,9600,34.2,77.88303,138.6733213,335.4115,27.57465803
2015,1,4,11,1002.5,72,8.9,0,9,2.9,6600,27.9,67.18581,106.4822625,194.88263,30.68792613
2015,1,4,12,1001.9,74,9,0.2,10,4.3,3600,30.8,71.32664,90.52016,163.09694,31
2015,1,4,13,1001.7,83,8.7,0.3,8,2.4,3000,29.3,67.89272,82.059005,163.09694,36.8
2015,1,4,14,1001.3,87,8.5,2.2,9,3.1,600,29.4,67.15734,70.1584775,81.58002,36.7
2015,1,4,15,1001.3,94,8.2,2.4,10,3.1,0,36.99849,71,68.95940875,81.58002,35.2
2015,1,4,16,1001.5,95,8.3,2,7,1.2,0,38.6,73.17647,70.82970625,81.58002,28.8
2015,1,4,17,1002.1,97,7.9,2.1,13,2,0,41,78.82466,72.15025375,81.58002,23.2
2015,1,4,18,1003,92,5.7,1.2,15,2.7,0,57.7,108.70715,71.80583375,78.82466,9.8
2015,1,4,19,1003.8,85,4.6,0.6,15,3.4,0,60.2,109.88369,75.65884875,108.70715,8.1
2015,1,4,20,1004.7,82,4.9,0.4,15,3.7,0,58.7,117.54992,80.99608375,109.88369,6.4
2015,1,4,21,1005.1,90,4.3,0.3,15,2.2,0,29.2,63.69997,86.77399375,117.54992,30.7
2015,1,4,22,1005.5,88,4.5,0,15,1.2,0,19.7,44.96336,86.2499,117.54992,46.3
2015,1,4,23,1005.6,85,4.5,0,16,0.7,0,20.2,44.30974,83.4756525,117.54992,47.2
2015,1,5,0,1005.8,84,4.4,0,15,0.9,0,28.5,50.78751,80.13937,117.54992,39.1
2015,1,5,1,1005.8,77,4.6,0,13,0.2,0,25.4,44.87384,77.34075,117.54992,44.1
2015,1,5,2,1005.9,79,4.4,1.1,13,1.5,0,20.9,36.4142,73.0968975,117.54992,47.1
2015,1,5,3,1006,91,3.3,0.6,15,2.5,0,27,40.37828477,64.06027875,117.54992,49.7052
2015,1,5,4,1006,92,3,0,3,1,0,22.20501,31.01613,55.3721031,117.54992,49.7
2015,1,5,5,1006.3,86,3.1,0,15,1.1,0,22.2,36.84363,44.55537935,63.69997,44.1
2015,1,5,6,1006.3,84,3.4,0,16,1.6,1200,23.3,33.91667,41.19833685,50.78751,38.9
2015,1,5,7,1006.5,79,4,0,15,1.9,4200,18.4,31.70947,39.8175006,50.78751,40.2
2015,1,5,8,1006.9,80,4.4,0,14,1.2,7200,40.7,85.55807,38.24246685,50.78751,21.5
2015,1,5,9,1006.7,63,6.9,0,13,1.7,21000,77.5,202.08943,42.58878685,85.55807,5.9
2015,1,5,10,1006.4,61,6.6,0,15,2.2,21600,64.33854,219.1435203,62.2407356,202.08943,6.4
2015,1,5,11,1005.8,59,6.5,0,2,3.3,20400,40.50627,74.44985074,85.08190063,219.1435203,28.53778313
